word,pronunciation,difficulty,categories,definition,examples,usage_notes,collocations
board,,intermediate,"[""Everyday Conversation""]","A long, thin, flat piece of wood or other hard material","[""He cut a piece of board.""]",,"[""wooden board, surf board""]"
boat,,intermediate,"[""Everyday Conversation""]",A small vessel for traveling over water,"[""They sailed on a boat.""]",,"[""sail a boat, fishing boat""]"
body,,intermediate,"[""Everyday Conversation""]",The physical structure of a person or an animal,"[""He has a muscular body.""]",,"[""body language, body weight""]"
boil,,intermediate,"[""Everyday Conversation""]",Heat (a liquid) to the temperature at which it bubbles and turns to vapor,"[""She boiled the water.""]",,"[""boil water, boil an egg""]"
bomb,,intermediate,"[""Everyday Conversation""]","A container filled with explosive, incendiary material, smoke, gas, or other destructive substance, designed to explode on impact or when detonated by a time mechanism or remote-control device","[""The bomb exploded.""]",,"[""drop a bomb, bomb attack""]"
bone,,intermediate,"[""Everyday Conversation""]","Any of the pieces of hard, whitish tissue making up the skeleton in humans and other vertebrates","[""He broke a bone in his leg.""]",,"[""break a bone, bone structure""]"
book,,intermediate,"[""Everyday Conversation""]","A set of written, printed, or blank pages fastened together along one side and encased between protective covers","[""She read a book.""]",,"[""read a book, write a book""]"
boot,,intermediate,"[""Everyday Conversation""]","A sturdy item of footwear covering the foot, the ankle, and sometimes the lower leg","[""He wore boots in the snow.""]",,"[""put on boots, hiking boots""]"
border,,intermediate,"[""Everyday Conversation""]","A line separating two political or geographical areas, especially countries","[""The border between the countries is heavily guarded.""]",,"[""cross the border, border control""]"
bore,,intermediate,"[""Everyday Conversation""]",Make (someone) feel weary and uninterested by tedious talk or dullness,"[""He bored everyone with his stories.""]",,"[""bore someone to death, bore easily""]"
bored,,intermediate,"[""Everyday Conversation""]",Feeling weary and impatient because one is unoccupied or lacks interest in one's current activity,"[""She felt bored during the lecture.""]",,"[""get bored, look bored""]"
boring,,intermediate,"[""Everyday Conversation""]",Not interesting; tedious,"[""The movie was boring.""]",,"[""boring lecture, boring movie""]"
born,,intermediate,"[""Everyday Conversation""]",Brought into life by the process of birth,"[""She was born in July.""]",,"[""born on, born in""]"
borrow,,intermediate,"[""Everyday Conversation""]",Take and use (something belonging to someone else) with the intention of returning it,"[""He borrowed a book from the library.""]",,"[""borrow money, borrow a book""]"
boss,,intermediate,"[""Everyday Conversation""]",A person who is in charge of a worker or organization,"[""He is the boss of the company.""]",,"[""boss around, new boss""]"
both,,intermediate,"[""Everyday Conversation""]","Used to refer to two people or things, regarded and identified together","[""Both cats are black.""]",,"[""both of them, both sides""]"
bother,,intermediate,"[""Everyday Conversation""]",Take the trouble to do something,"[""Don't bother to call him.""]",,"[""bother with, don't bother""]"
bottle,,intermediate,"[""Everyday Conversation""]","A container, typically made of glass or plastic and with a narrow neck, used for storing drinks or other liquids","[""She drank a bottle of water.""]",,"[""empty bottle, glass bottle""]"
bottom,,intermediate,"[""Everyday Conversation""]",The lowest point or part of something,"[""The ball is at the bottom of the hill.""]",,"[""bottom line, at the bottom""]"
bound,,intermediate,"[""Everyday Conversation""]",Going or ready to go toward a specified place,"[""The train is bound for Paris.""]",,"[""east bound, home bound""]"
bowl,,intermediate,"[""Everyday Conversation""]","A round, deep dish or basin used for food or liquid","[""She served the soup in a bowl.""]",,"[""soup bowl, mixing bowl""]"
box,,intermediate,"[""Everyday Conversation""]","A container with a flat base and sides, typically square or rectangular and having a lid","[""He put the tools in a box.""]",,"[""cardboard box, wooden box""]"
boy,,intermediate,"[""Everyday Conversation""]",A male child or youth,"[""The boy is playing outside.""]",,"[""young boy, little boy""]"
boyfriend,,intermediate,"[""Everyday Conversation""]",A regular male companion with whom one has a romantic or sexual relationship,"[""She met her boyfriend at the cafe.""]",,"[""new boyfriend, ex-boyfriend""]"
brain,,intermediate,"[""Everyday Conversation""]","An organ of soft nervous tissue contained in the skull of vertebrates, functioning as the coordinating center of sensation and intellectual and nervous activity","[""The human brain is very complex.""]",,"[""brain surgery, brain function""]"
branch,,intermediate,"[""Everyday Conversation""]",A part of a tree that grows out from the trunk or from a bough,"[""He climbed a tree and sat on a branch.""]",,"[""tree branch, branch office""]"
brand,,intermediate,"[""Everyday Conversation""]",A type of product manufactured by a particular company under a particular name,"[""This is a popular brand of shoes.""]",,"[""brand new, famous brand""]"
brave,,intermediate,"[""Everyday Conversation""]",Ready to face and endure danger or pain; showing courage,"[""The brave soldier received a medal.""]",,"[""brave enough, brave soldier""]"
bread,,intermediate,"[""Everyday Conversation""]","Food made of flour, water, and yeast mixed together and baked","[""She bought a loaf of bread.""]",,"[""slice of bread, loaf of bread""]"
break,,intermediate,"[""Everyday Conversation""]","Separate or cause to separate into pieces as a result of a blow, shock, or strain","[""She accidentally broke the vase.""]",,"[""break a leg, break free""]"
break down,,intermediate,"[""Everyday Conversation""]",Stop functioning,"[""The car broke down on the highway.""]",,"[""break down completely, sudden break down""]"
break in,,intermediate,"[""Everyday Conversation""]",Enter a building by force,"[""Thieves broke in and stole the jewels.""]",,"[""break in through, break in by force""]"
break into,,intermediate,"[""Everyday Conversation""]","Enter or open (a place, vehicle, or container) forcibly, especially for the purpose of theft","[""Someone tried to break into my car.""]",,"[""break into a house, break into a car""]"
break off,,intermediate,"[""Everyday Conversation""]",Separate or cause to separate abruptly,"[""They broke off their engagement.""]",,"[""break off a piece, break off suddenly""]"
break out,,intermediate,"[""Everyday Conversation""]",Start suddenly,"[""A fire broke out in the kitchen.""]",,"[""break out in a rash, break out laughing""]"
break up,,intermediate,"[""Everyday Conversation""]",End a relationship,"[""They decided to break up after five years together.""]",,"[""break up the fight, break up the meeting""]"
breakfast,,intermediate,"[""Everyday Conversation""]","A meal eaten in the morning, the first of the day","[""They had eggs for breakfast.""]",,"[""healthy breakfast, breakfast cereal""]"
breast,,intermediate,"[""Everyday Conversation""]","Either of the two soft, protruding organs on the upper front of a woman's body that secrete milk after childbirth","[""She felt a pain in her left breast.""]",,"[""breast cancer, breast feed""]"
breath,,intermediate,"[""Everyday Conversation""]",The air taken into or expelled from the lungs,"[""She took a deep breath.""]",,"[""deep breath, take a breath""]"
breathe,,intermediate,"[""Everyday Conversation""]","Take air into the lungs and then expel it, especially as a regular physiological process","[""He had to breathe heavily after running.""]",,"[""breathe deeply, breathe easily""]"
breathe in,,intermediate,"[""Everyday Conversation""]",Inhale air,"[""She breathed in the fresh air.""]",,"[""breathe in deeply, breathe in slowly""]"
breathe out,,intermediate,"[""Everyday Conversation""]",Exhale air,"[""He breathed out slowly.""]",,"[""breathe out slowly, breathe out deeply""]"
breathing,,intermediate,"[""Everyday Conversation""]",The process of taking air into and expelling it from the lungs,"[""Breathing exercises can help reduce stress.""]",,"[""heavy breathing, breathing technique""]"
breed,,intermediate,"[""Everyday Conversation""]","Cause (an animal) to produce offspring, typically in a controlled and organized way","[""They breed horses on their farm.""]",,"[""breed dogs, breed cattle""]"
brick,,intermediate,"[""Everyday Conversation""]","A small rectangular block typically made of fired or sun-dried clay, used in building","[""They used red bricks for the house.""]",,"[""brick wall, brick house""]"
bridge,,intermediate,"[""Everyday Conversation""]","A structure carrying a road, path, railroad, or canal across a river, ravine, road, railroad, or other obstacle","[""They walked across the bridge.""]",,"[""cross the bridge, build a bridge""]"
brief,,intermediate,"[""Everyday Conversation""]",Of short duration,"[""He gave a brief summary of the report.""]",,"[""brief moment, brief discussion""]"
briefly,,intermediate,"[""Everyday Conversation""]",For a short time; fleetingly,"[""She spoke briefly about the topic.""]",,"[""explain briefly, mentioned briefly""]"
bright,,intermediate,"[""Everyday Conversation""]",Giving out or reflecting a lot of light; shining,"[""The sun is very bright today.""]",,"[""bright light, bright color""]"
brightly,,intermediate,"[""Everyday Conversation""]",In a way that gives out or reflects much light,"[""The stars shone brightly.""]",,"[""shine brightly, brightly lit""]"
brilliant,,intermediate,"[""Everyday Conversation""]",Exceptionally clever or talented,"[""She gave a brilliant performance.""]",,"[""brilliant idea, brilliant mind""]"
bring,,intermediate,"[""Everyday Conversation""]",Take or go with (someone or something) to a place,"[""Can you bring me a glass of water?""]",,"[""bring to, bring along""]"
bring back,,intermediate,"[""Everyday Conversation""]",Return (something) to its former condition,"[""The smell of the cookies brought back memories of my childhood.""]",,"[""bring back memories, bring back to life""]"
bring down,,intermediate,"[""Everyday Conversation""]",Make (someone or something) fall or collapse,"[""The scandal brought down the government.""]",,"[""bring down the house, bring down prices""]"
bring forward,,intermediate,"[""Everyday Conversation""]",Change the date or time of an event so that it happens earlier,"[""They decided to bring the meeting forward to Monday.""]",,"[""bring forward a proposal, bring forward evidence""]"
bring out,,intermediate,"[""Everyday Conversation""]",Make (something) more visible or prominent,"[""The new dress really brings out the color of your eyes.""]",,"[""bring out the best, bring out a product""]"
bring up,,intermediate,"[""Everyday Conversation""]",Raise (a child),"[""They brought up three children.""]",,"[""bring up a topic, bring up a child""]"
broad,,intermediate,"[""Everyday Conversation""]",Having an ample distance from side to side; wide,"[""The road is very broad.""]",,"[""broad shoulders, broad agreement""]"
broadcast,,intermediate,"[""Everyday Conversation""]",Transmit (a program or some information) by radio or television,"[""The news was broadcast at 7 PM.""]",,"[""broadcast live, broadcast news""]"
broadly,,intermediate,"[""Everyday Conversation""]",In general and with the exception of minor details,"[""Broadly speaking, the plan is a good one.""]",,"[""broadly speaking, broadly defined""]"
broken,,intermediate,"[""Everyday Conversation""]",Having been fractured or damaged and no longer in one piece or in working order,"[""He has a broken leg.""]",,"[""broken heart, broken bone""]"
brother,,intermediate,"[""Everyday Conversation""]",A man or boy in relation to other sons and daughters of his parents,"[""He has two older brothers.""]",,"[""older brother, younger brother""]"
brown,,intermediate,"[""Everyday Conversation""]","Of a color produced by mixing red, yellow, and blue, as of dark wood or rich soil","[""She has brown eyes.""]",,"[""brown hair, brown shoes""]"
brush,,intermediate,"[""Everyday Conversation""]","An implement with a handle and a block of bristles, hair, or wire, used for cleaning, smoothing, or painting","[""She used a brush to paint the wall.""]",,"[""paint brush, hair brush""]"
bubble,,intermediate,"[""Everyday Conversation""]",A thin sphere of liquid enclosing air or another gas,"[""The soap bubbles floated in the air.""]",,"[""blow a bubble, soap bubble""]"
budget,,intermediate,"[""Everyday Conversation""]",An estimate of income and expenditure for a set period of time,"[""We need to stick to the budget.""]",,"[""annual budget, budget plan""]"
build,,intermediate,"[""Everyday Conversation""]",Construct (something) by putting parts or material together,"[""They are planning to build a new house.""]",,"[""build a house, build a career""]"
build up,,intermediate,"[""Everyday Conversation""]",Increase or cause to increase,"[""Traffic begins to build up around 5 PM.""]",,"[""build up a reputation, build up strength""]"
building,,intermediate,"[""Everyday Conversation""]","A structure with a roof and walls, such as a house, school, or factory","[""The new building is almost complete.""]",,"[""tall building, office building""]"
bullet,,intermediate,"[""Everyday Conversation""]","A projectile for firing from a rifle, revolver, or other small firearm, typically cylindrical and pointed, and sometimes containing an explosive","[""He found a bullet on the ground.""]",,"[""silver bullet, bullet wound""]"
bunch,,intermediate,"[""Everyday Conversation""]","A number of things, typically of the same kind, growing or fastened together","[""She picked a bunch of flowers.""]",,"[""bunch of grapes, bunch of keys""]"
burn,,intermediate,"[""Everyday Conversation""]",Consume by fire,"[""The fire burned all night.""]",,"[""burn a candle, burn bright""]"
burn down,,intermediate,"[""Everyday Conversation""]",Destroy by fire,"[""The old house burned down last year.""]",,"[""burn down completely, burn down the house""]"
burnt,,intermediate,"[""Everyday Conversation""]",Consumed by fire,"[""The toast is burnt.""]",,"[""burnt toast, burnt food""]"
burst,,intermediate,"[""Everyday Conversation""]","Break open or apart suddenly and violently, especially as a result of an impact or internal pressure","[""The balloon burst.""]",,"[""burst into flames, burst of energy""]"
burst into,,intermediate,"[""Everyday Conversation""]",Suddenly begin to produce or do (something),"[""She burst into tears.""]",,"[""burst into laughter, burst into applause""]"
burst out,,intermediate,"[""Everyday Conversation""]",Suddenly start to say something loudly,"[""He burst out laughing.""]",,"[""burst out crying, burst out singing""]"
bury,,intermediate,"[""Everyday Conversation""]",Put or hide underground,"[""They buried the treasure.""]",,"[""bury a bone, bury the past""]"
bus,,intermediate,"[""Everyday Conversation""]",A large motor vehicle carrying passengers by road,"[""We took the bus to school.""]",,"[""catch the bus, bus stop""]"
bush,,intermediate,"[""Everyday Conversation""]",A shrub or clump of shrubs with stems of moderate length,"[""They hid behind a bush.""]",,"[""hide in the bush, thick bush""]"
business,,intermediate,"[""Everyday Conversation""]","A person's regular occupation, profession, or trade","[""She runs her own business.""]",,"[""small business, business plan""]"
businessman,,intermediate,"[""Everyday Conversation""]","A man who works in commerce, especially at an executive level","[""He is a successful businessman.""]",,"[""successful businessman, young businessman""]"
busy,,intermediate,"[""Everyday Conversation""]",Having a great deal to do,"[""She is always busy with work.""]",,"[""busy day, busy schedule""]"
but,,intermediate,"[""Everyday Conversation""]",Used to introduce something contrasting with what has already been mentioned,"[""I want to go, but I can't.""]",,"[""but still, but then""]"
butter,,intermediate,"[""Everyday Conversation""]",A pale yellow edible fatty substance made by churning cream and used as a spread or in cooking,"[""She spread butter on her toast.""]",,"[""melted butter, butter knife""]"
button,,intermediate,"[""Everyday Conversation""]","A small disc or knob sewn onto a garment, either to fasten it by being pushed through a slit made for the purpose or for decoration","[""He sewed a button on his shirt.""]",,"[""press the button, button up""]"
buy,,intermediate,"[""Everyday Conversation""]",Obtain in exchange for payment,"[""She bought a new car.""]",,"[""buy a house, buy online""]"
buyer,,intermediate,"[""Everyday Conversation""]",A person who makes a purchase,"[""The buyer was satisfied with the purchase.""]",,"[""first-time buyer, potential buyer""]"
by,,intermediate,"[""Everyday Conversation""]",Identifying the agent performing an action,"[""The book was written by him.""]",,"[""by hand, by chance""]"
bye,,intermediate,"[""Everyday Conversation""]",Short for goodbye,"[""She waved bye to her friend.""]",,"[""say bye, wave bye""]"
cabinet,,intermediate,"[""Everyday Conversation""]",A cupboard with drawers or shelves for storing or displaying articles,"[""The cabinet is full of dishes.""]",,"[""kitchen cabinet, file cabinet""]"
cable,,intermediate,"[""Everyday Conversation""]","A thick rope of wire or hemp used for construction, mooring ships, and towing vehicles","[""The cable snapped under the tension.""]",,"[""electric cable, coaxial cable""]"
cake,,intermediate,"[""Everyday Conversation""]","An item of soft, sweet food made from a mixture of flour, shortening, eggs, sugar, and other ingredients, baked and often decorated","[""She baked a chocolate cake.""]",,"[""birthday cake, wedding cake""]"
calculate,,intermediate,"[""Everyday Conversation""]",Determine (the amount or number of something) mathematically,"[""He calculated the total cost.""]",,"[""calculate the cost, calculate the value""]"
calculation,,intermediate,"[""Everyday Conversation""]",A mathematical determination of the size or number of something,"[""He did a quick calculation in his head.""]",,"[""quick calculation, make a calculation""]"
call,,intermediate,"[""Everyday Conversation""]",Cry out (a word or words),"[""She called out for help.""]",,"[""call for help, call a friend""]"
call back,,intermediate,"[""Everyday Conversation""]",Return a phone call,"[""I'll call back later.""]",,"[""call back later, call back tomorrow""]"
call for,,intermediate,"[""Everyday Conversation""]",Publicly ask for or demand,"[""They called for immediate action.""]",,"[""call for a change, call for help""]"
call off,,intermediate,"[""Everyday Conversation""]",Cancel,"[""The meeting was called off.""]",,"[""call off a meeting, call off the trip""]"
call up,,intermediate,"[""Everyday Conversation""]",Bring something to mind,"[""The sound called up memories of her childhood.""]",,"[""call up a memory, call up details""]"
called,,intermediate,"[""Everyday Conversation""]",Given a name,"[""The child is called Alex.""]",,"[""be called, name called""]"
calm,,intermediate,"[""Everyday Conversation""]","Not showing or feeling nervousness, anger, or other strong emotions","[""He remained calm under pressure.""]",,"[""calm sea, calm voice""]"
calm down,,intermediate,"[""Everyday Conversation""]",Make someone or something less agitated,"[""She tried to calm down the child.""]",,"[""calm down quickly, try to calm down""]"
calmly,,intermediate,"[""Everyday Conversation""]",In a quiet and relaxed manner,"[""She spoke calmly despite the chaos.""]",,"[""speak calmly, react calmly""]"
camera,,intermediate,"[""Everyday Conversation""]","A device for recording visual images in the form of photographs, film, or video signals","[""She took a photo with her camera.""]",,"[""digital camera, security camera""]"
camp,,intermediate,"[""Everyday Conversation""]",A place where people live temporarily in tents or other temporary structures,"[""They set up camp by the river.""]",,"[""summer camp, camp out""]"
campaign,,intermediate,"[""Everyday Conversation""]",An organized effort to win or achieve something,"[""The campaign for the new product was successful.""]",,"[""marketing campaign, political campaign""]"
camping,,intermediate,"[""Everyday Conversation""]",The activity of spending a holiday living in a tent,"[""We enjoyed camping in the mountains.""]",,"[""go camping, camping trip""]"
can 1,,intermediate,"[""Everyday Conversation""]",Be able to,"[""I can swim.""]",,"[""can do, can be""]"
can 2,,intermediate,"[""Everyday Conversation""]",A metal container for food or drink,"[""He drank a can of soda.""]",,"[""can of beans, can of soup""]"
cancel,,intermediate,"[""Everyday Conversation""]",Decide or announce that (a planned event) will not take place,"[""The event was canceled due to rain.""]",,"[""cancel a meeting, cancel the trip""]"
cancer,,intermediate,"[""Everyday Conversation""]",A disease caused by an uncontrolled division of abnormal cells in a part of the body,"[""She was diagnosed with cancer.""]",,"[""breast cancer, cancer treatment""]"
candidate,,intermediate,"[""Everyday Conversation""]",A person who applies for a job or is nominated for election,"[""He is a candidate for the position.""]",,"[""presidential candidate, job candidate""]"
candy,,intermediate,"[""Everyday Conversation""]","A sweet food made with sugar or syrup combined with fruit, chocolate, or nuts","[""She gave me a piece of candy.""]",,"[""piece of candy, candy store""]"
cannot,,intermediate,"[""Everyday Conversation""]",Be unable to,"[""I cannot swim.""]",,"[""cannot do, cannot be""]"
cap,,intermediate,"[""Everyday Conversation""]","A soft, flat hat without a brim and typically with a peak","[""He wore a baseball cap.""]",,"[""wear a cap, cap off""]"
capable,,intermediate,"[""Everyday Conversation""]","Having the ability, fitness, or quality necessary to do or achieve a specified thing","[""She is capable of great things.""]",,"[""capable of doing, capable of handling""]"
capacity,,intermediate,"[""Everyday Conversation""]",The maximum amount that something can contain,"[""The hall was filled to capacity.""]",,"[""seating capacity, storage capacity""]"
capital,,intermediate,"[""Everyday Conversation""]",The city or town that functions as the seat of government and administrative centre of a country or region,"[""Paris is the capital of France.""]",,"[""capital city, capital investment""]"
captain,,intermediate,"[""Everyday Conversation""]",The person in command of a ship,"[""The captain of the ship gave orders.""]",,"[""ship captain, team captain""]"
capture,,intermediate,"[""Everyday Conversation""]",Take into one's possession or control by force,"[""They managed to capture the thief.""]",,"[""capture the moment, capture attention""]"
car,,intermediate,"[""Everyday Conversation""]","A road vehicle, typically with four wheels, powered by an internal combustion engine and able to carry a small number of people","[""She drives a red car.""]",,"[""drive a car, car accident""]"
card,,intermediate,"[""Everyday Conversation""]","A piece of thick, stiff paper or thin pasteboard, in particular one used for writing or printing on","[""He gave me a birthday card.""]",,"[""birthday card, credit card""]"
cardboard,,intermediate,"[""Everyday Conversation""]","A material made from pulped wood or other fibrous substances, used for making boxes and other items","[""The box is made of cardboard.""]",,"[""cardboard box, cardboard cutout""]"
care,,intermediate,"[""Everyday Conversation""]","The provision of what is necessary for the health, welfare, maintenance, and protection of someone or something","[""He needs care.""]",,"[""take care, health care""]"
care for,,intermediate,"[""Everyday Conversation""]",Look after and provide for the needs of,"[""She cares for her elderly parents.""]",,"[""care for someone, care for something""]"
career,,intermediate,"[""Everyday Conversation""]",An occupation undertaken for a significant period of a person's life and with opportunities for progress,"[""She has a successful career in medicine.""]",,"[""career path, career opportunity""]"
careful,,intermediate,"[""Everyday Conversation""]","Making sure of avoiding potential danger, mishap, or harm; cautious","[""Be careful while driving.""]",,"[""be careful, careful handling""]"
carefully,,intermediate,"[""Everyday Conversation""]",In a way that deliberately avoids harm or errors; cautiously,"[""She carefully packed the fragile items.""]",,"[""drive carefully, handle carefully""]"
careless,,intermediate,"[""Everyday Conversation""]",Not giving sufficient attention or thought to avoiding harm or errors,"[""His careless behavior caused the accident.""]",,"[""careless mistake, careless attitude""]"
carelessly,,intermediate,"[""Everyday Conversation""]",In a careless or casual manner,"[""He carelessly threw his clothes on the floor.""]",,"[""drive carelessly, throw carelessly""]"
carpet,,intermediate,"[""Everyday Conversation""]","A floor or stair covering made from thick woven fabric, typically shaped to fit a particular room","[""The carpet in the living room is new.""]",,"[""vacuum the carpet, carpet cleaning""]"
carrot,,intermediate,"[""Everyday Conversation""]",A tapering orange-colored root eaten as a vegetable,"[""She added carrots to the soup.""]",,"[""chop carrots, eat carrots""]"
carry,,intermediate,"[""Everyday Conversation""]",Support and move (someone or something) from one place to another,"[""He carried the box to the car.""]",,"[""carry out, carry on""]"
carry on,,intermediate,"[""Everyday Conversation""]",Continue an activity or task,"[""He decided to carry on with his studies.""]",,"[""carry on working, carry on regardless""]"
carry out,,intermediate,"[""Everyday Conversation""]",Perform or complete a task,"[""They carried out the plan successfully.""]",,"[""carry out an order, carry out research""]"
case,,intermediate,"[""Everyday Conversation""]",An instance of a particular situation; an example of something occurring,"[""It was a case of mistaken identity.""]",,"[""criminal case, in case of""]"
cash,,intermediate,"[""Everyday Conversation""]",Money in coins or notes,"[""He paid in cash.""]",,"[""cash payment, cash register""]"
cast,,intermediate,"[""Everyday Conversation""]",Throw (something) forcefully,"[""She cast the net into the sea.""]",,"[""cast a spell, cast a vote""]"
castle,,intermediate,"[""Everyday Conversation""]","A large building, typically of the medieval period, fortified against attack with thick walls, battlements, towers, and often a moat","[""The castle was built in the 15th century.""]",,"[""medieval castle, castle walls""]"
cat,,intermediate,"[""Everyday Conversation""]","A small domesticated carnivorous mammal with soft fur, a short snout, and retractable claws","[""The cat is sleeping on the couch.""]",,"[""pet cat, stray cat""]"
catch,,intermediate,"[""Everyday Conversation""]","Intercept and hold (something which has been thrown, propelled, or dropped)","[""He managed to catch the ball.""]",,"[""catch a ball, catch a bus""]"
catch up,,intermediate,"[""Everyday Conversation""]",Reach someone or something that is ahead of you,"[""She had to run to catch up with him.""]",,"[""catch up with friends, catch up on work""]"
category,,intermediate,"[""Everyday Conversation""]",A class or division of people or things regarded as having particular shared characteristics,"[""The items were sorted into different categories.""]",,"[""main category, sub category""]"
cause,,intermediate,"[""Everyday Conversation""]","A person or thing that gives rise to an action, phenomenon, or condition","[""The heavy rain caused flooding.""]",,"[""cause trouble, cause of death""]"
cd,,intermediate,"[""Everyday Conversation""]","A small plastic disc on which music or other digital information is stored, and from which the information can be read using reflected laser light","[""I bought a new music CD.""]",,"[""music CD, CD player""]"
cease,,intermediate,"[""Everyday Conversation""]",Bring or come to an end,"[""The hostilities had ceased.""]",,"[""ceasefire, cease operations""]"
ceiling,,intermediate,"[""Everyday Conversation""]",The upper interior surface of a room or other similar compartment,"[""The ceiling was painted white.""]",,"[""high ceiling, ceiling fan""]"
celebrate,,intermediate,"[""Everyday Conversation""]",Acknowledge (a significant or happy day or event) with a social gathering or enjoyable activity,"[""We will celebrate her birthday tomorrow.""]",,"[""celebrate a birthday, celebrate an anniversary""]"
celebration,,intermediate,"[""Everyday Conversation""]","The action of marking one's pleasure at an important event or occasion by engaging in enjoyable, typically social, activity","[""The celebration lasted all night.""]",,"[""grand celebration, celebration event""]"
cell,,intermediate,"[""Everyday Conversation""]","The smallest structural and functional unit of an organism, typically microscopic and consisting of cytoplasm and a nucleus enclosed in a membrane","[""A cell is the basic building block of life.""]",,"[""nerve cell, cell division""]"
cell phone,,intermediate,"[""Everyday Conversation""]",A portable telephone that uses wireless technology to send and receive phone signals,"[""She called me on her cell phone.""]",,"[""use a cell phone, cell phone signal""]"
cent,,intermediate,"[""Everyday Conversation""]","A monetary unit equal to one hundredth of a dollar, euro, or other decimal currency unit","[""The candy costs fifty cents.""]",,"[""one cent, fifty cents""]"
centimetre,,intermediate,"[""Everyday Conversation""]","A metric unit of length, equal to one hundredth of a meter","[""The length of the table is 150 centimetres.""]",,"[""ten centimetres, two centimetres""]"
central,,intermediate,"[""Everyday Conversation""]","Of, at, or forming the center","[""The central part of the city is very busy.""]",,"[""central area, central location""]"
centre,,intermediate,"[""Everyday Conversation""]","The middle point of a circle or sphere, equidistant from every point on the circumference or surface","[""The fountain is in the centre of the square.""]",,"[""city centre, centre point""]"
century,,intermediate,"[""Everyday Conversation""]",A period of one hundred years,"[""The museum was built a century ago.""]",,"[""21st century, last century""]"
ceremony,,intermediate,"[""Everyday Conversation""]","A formal religious or public occasion, typically one celebrating a particular event or anniversary","[""The graduation ceremony was held last week.""]",,"[""wedding ceremony, official ceremony""]"
certain,,intermediate,"[""Everyday Conversation""]",Able to be firmly relied on to happen or be the case,"[""I am certain of his innocence.""]",,"[""certain fact, certain about""]"
certainly,,intermediate,"[""Everyday Conversation""]",Undoubtedly; definitely; surely,"[""I will certainly be there.""]",,"[""certainly true, certainly know""]"
certificate,,intermediate,"[""Everyday Conversation""]",An official document attesting a certain fact,"[""He received a certificate of completion.""]",,"[""birth certificate, graduation certificate""]"
chain,,intermediate,"[""Everyday Conversation""]","A series of linked metal rings used for fastening or securing something, or for pulling loads","[""She wore a gold chain around her neck.""]",,"[""metal chain, supply chain""]"
chair,,intermediate,"[""Everyday Conversation""]","A separate seat for one person, typically with a back and four legs","[""He sat on the chair.""]",,"[""sit on the chair, wooden chair""]"
chairman,,intermediate,"[""Everyday Conversation""]","The permanent or long-term president of a committee, company, or other organization","[""The chairman opened the meeting.""]",,"[""board chairman, vice chairman""]"
chairwoman,,intermediate,"[""Everyday Conversation""]","The permanent or long-term female president of a committee, company, or other organization","[""The chairwoman of the board gave a speech.""]",,"[""chairwoman of the board, new chairwoman""]"
challenge,,intermediate,"[""Everyday Conversation""]",A call to someone to participate in a competitive situation or fight to decide who is superior in terms of ability or strength,"[""She accepted the challenge to compete in the marathon.""]",,"[""face a challenge, challenge yourself""]"
chamber,,intermediate,"[""Everyday Conversation""]",A large room used for formal or public events,"[""The meeting was held in the council chamber.""]",,"[""council chamber, gas chamber""]"
chance,,intermediate,"[""Everyday Conversation""]",A possibility of something happening,"[""There is a chance of rain tomorrow.""]",,"[""good chance, take a chance""]"
change,,intermediate,"[""Everyday Conversation""]",Make or become different,"[""He decided to change his career.""]",,"[""change the rules, change your mind""]"
change round,,intermediate,"[""Everyday Conversation""]",To move something into a different position,"[""They changed round the furniture in the room.""]",,"[""change round completely, change round quickly""]"
channel,,intermediate,"[""Everyday Conversation""]","A length of water wider than a strait, joining two larger areas of water, especially two seas","[""The English Channel separates England from France.""]",,"[""TV channel, channel of water""]"
chapter,,intermediate,"[""Everyday Conversation""]","A main division of a book, typically with a number or title","[""I finished the first chapter of the book.""]",,"[""first chapter, final chapter""]"
character,,intermediate,"[""Everyday Conversation""]",The mental and moral qualities distinctive to an individual,"[""She has a strong character.""]",,"[""main character, strong character""]"
characteristic,,intermediate,"[""Everyday Conversation""]","A feature or quality belonging typically to a person, place, or thing and serving to identify them","[""Patience is a characteristic of a good teacher.""]",,"[""unique characteristic, important characteristic""]"
charge,,intermediate,"[""Everyday Conversation""]",Demand (an amount) as a price from someone for a service rendered or goods supplied,"[""He charged me $50 for the repair.""]",,"[""charge a fee, charge a price""]"
charity,,intermediate,"[""Everyday Conversation""]",An organization set up to provide help and raise money for those in need,"[""She donated to a local charity.""]",,"[""local charity, charity event""]"
chart,,intermediate,"[""Everyday Conversation""]","A sheet of information in the form of a table, graph, or diagram","[""The sales chart shows an increase in revenue.""]",,"[""sales chart, flow chart""]"
chase,,intermediate,"[""Everyday Conversation""]",Pursue in order to catch or catch up with,"[""The dog chased the cat.""]",,"[""chase after, chase down""]"
chase away,,intermediate,"[""Everyday Conversation""]",Drive away by or as if by chasing,"[""They chased away the intruders.""]",,"[""chase away the birds, chase away the fears""]"
chat,,intermediate,"[""Everyday Conversation""]",Talk in a friendly and informal way,"[""They chatted about their plans for the weekend.""]",,"[""chat online, chat with friends""]"
cheap,,intermediate,"[""Everyday Conversation""]",Low in price; worth more than its cost,"[""She bought a cheap dress.""]",,"[""cheap price, cheap goods""]"
